domain_id,domain_name
dm-019b0c5c-949e-7a61-a07f-be0e507a4c11,food science
dm-019b0c5c-949f-7375-8df3-7626f8aea600,agriculture production & management
dm-019b0c5c-949f-7375-8df3-7627b8fb4cc9,general agriculture
dm-019b0c5c-949f-7375-8df3-7628a42bd5a6,agricultural economics
dm-019b0c5c-949f-7375-8df3-76299162c2b3,natural resources management
dm-019b0c5c-949f-7375-8df3-762a950b0de2,forestry
dm-019b0c5c-949f-7375-8df3-762b3d8f4871,soil science
dm-019b0c5c-949f-7375-8df3-762cbf365ad6,plant science & agronomy
dm-019b0c5c-949f-7375-8df3-762d8ec9a4e8,animal sciences
dm-019b0c5c-949f-7375-8df3-762ea07ab341,miscellaneous agriculture
dm-019b0c5c-949f-7375-8df3-762f84fd2aaf,miscellaneous fine arts
dm-019b0c5c-949f-7375-8df3-76303aedc5d8,commercial art & graphic design
dm-019b0c5c-949f-7375-8df3-76313f556ebb,film video & photographic arts
dm-019b0c5c-949f-7375-8df3-76320d42b9fb,music
dm-019b0c5c-949f-7375-8df3-7633d8c3f412,fine arts
dm-019b0c5c-949f-7375-8df3-7634ad577770,visual & performing arts
dm-019b0c5c-949f-7375-8df3-7635dd5dd835,studio arts
dm-019b0c5c-949f-7375-8df3-7636644e17d8,drama & theater arts
dm-019b0c5c-949f-7375-8df3-763709796abe,pharmacology
dm-019b0c5c-949f-7375-8df3-76386f80a939,cognitive science & biopsychology
dm-019b0c5c-949f-7375-8df3-7639bc0bb7c0,molecular biology
dm-019b0c5c-949f-7375-8df3-763af74f9c49,genetics
dm-019b0c5c-949f-7375-8df3-763b9382e013,microbiology
dm-019b0c5c-949f-7375-8df3-763cc8c7ff63,biochemical sciences
dm-019b0c5c-949f-7375-8df3-763d2128573f,botany
dm-019b0c5c-949f-7375-8df3-763e81ec5eef,environmental science
dm-019b0c5c-949f-7375-8df3-763f798af884,physiology
dm-019b0c5c-949f-7375-8df3-76401f8ea2d7,neuroscience
dm-019b0c5c-949f-7375-8df3-76412578f3b1,miscellaneous biology
dm-019b0c5c-94a0-725a-a78b-2a7573994276,biology
dm-019b0c5c-94a0-725a-a78b-2a763603ae4a,ecology
dm-019b0c5c-94a0-725a-a78b-2a770c892226,zoology
dm-019b0c5c-94a0-725a-a78b-2a787feccad5,actuarial science
dm-019b0c5c-94a0-725a-a78b-2a79c8630f6c,management information systems & statistics
dm-019b0c5c-94a0-725a-a78b-2a7aadac3801,operations logistics & e-commerce
dm-019b0c5c-94a0-725a-a78b-2a7b39f40c4b,finance
dm-019b0c5c-94a0-725a-a78b-2a7cc44871d6,business economics
dm-019b0c5c-94a0-725a-a78b-2a7da6e0c632,accounting
dm-019b0c5c-94a0-725a-a78b-2a7ecdb76ccb,general business
dm-019b0c5c-94a0-725a-a78b-2a7f39fa4b44,international business
dm-019b0c5c-94a0-725a-a78b-2a808b18f377,miscellaneous business & medical administration
dm-019b0c5c-94a0-725a-a78b-2a811f99eb1d,business management & administration
dm-019b0c5c-94a0-725a-a78b-2a82bd9bd1c9,marketing & marketing research
dm-019b0c5c-94a0-725a-a78b-2a8315530329,human resources & personnel management
dm-019b0c5c-94a0-725a-a78b-2a8404911522,hospitality management
