interest_id,interest_name,interest_position
itr-019b0c71-83d3-7e94-a857-afc8d9e9b3b4,3D Printing,0
itr-019b0c71-83d4-7ff2-b719-f13912513f47,Acroyoga,1
itr-019b0c71-83d4-7ff2-b719-f13abebc1e80,Amateur Astronomy,2
itr-019b0c71-83d4-7ff2-b719-f13bf1147448,Amateur Radio,3
itr-019b0c71-83d4-7ff2-b719-f13c49fc6f32,Amateur Theater,4
itr-019b0c71-83d4-7ff2-b719-f13da4a1339f,Archery,5
itr-019b0c71-83d4-7ff2-b719-f13e4f4ae8ce,Astrophotography,6
itr-019b0c71-83d4-7ff2-b719-f13fb61590d1,Backpacking,7
itr-019b0c71-83d4-7ff2-b719-f140a9013bcf,Baking,8
itr-019b0c71-83d4-7ff2-b719-f141c5b9c842,Beekeeping,9
itr-019b0c71-83d4-7ff2-b719-f142f3056445,Birdwatching,10
itr-019b0c71-83d4-7ff2-b719-f1438b11214e,Board Games,11
itr-019b0c71-83d4-7ff2-b719-f14462e3efc1,Bowling,12
itr-019b0c71-83d4-7ff2-b719-f14518f12298,Calligraphy,13
itr-019b0c71-83d4-7ff2-b719-f1467c159b0a,Car Restoration,14
itr-019b0c71-83d4-7ff2-b719-f1475e21cedf,Carpentry,15
itr-019b0c71-83d4-7ff2-b719-f148c64807e7,Chess,16
itr-019b0c71-83d4-7ff2-b719-f1494ecba4c4,Coin Collecting,17
itr-019b0c71-83d4-7ff2-b719-f14a8ba78b74,Cooking,18
itr-019b0c71-83d4-7ff2-b719-f14b4de028c4,CrossFit,19
itr-019b0c71-83d4-7ff2-b719-f14c0336509e,Crossword Puzzles,20
itr-019b0c71-83d4-7ff2-b719-f14dec7da046,Cycling,21
itr-019b0c71-83d4-7ff2-b719-f14e3f7c83ee,Dancing,22
itr-019b0c71-83d4-7ff2-b719-f14f7b3873ea,Digital Art,23
itr-019b0c71-83d4-7ff2-b719-f1509361a088,DJing,24
itr-019b0c71-83d4-7ff2-b719-f15198ab4845,Drawing,25
itr-019b0c71-83d4-7ff2-b719-f15272d93fc1,Drone Flying,26
itr-019b0c71-83d4-7ff2-b719-f153930d2151,Embroidery,27
itr-019b0c71-83d4-7ff2-b719-f15480b6ea9e,Fencing,28
itr-019b0c71-83d4-7ff2-b719-f155ae818d45,Fishing,29
itr-019b0c71-83d4-7ff2-b719-f156ec5713ee,Fitness Gaming,30
itr-019b0c71-83d4-7ff2-b719-f15717d7b0d5,Flower Arranging,31
itr-019b0c71-83d4-7ff2-b719-f15816e58f99,Fly Tying,32
itr-019b0c71-83d4-7ff2-b719-f159e5eaa8d9,Gardening,33
itr-019b0c71-83d4-7ff2-b719-f15a9915abb1,Genealogy,34
itr-019b0c71-83d4-7ff2-b719-f15b6639890b,Geocaching,35
itr-019b0c71-83d4-7ff2-b719-f15c77bf7bcc,Glassblowing,36
itr-019b0c71-83d4-7ff2-b719-f15d4e3990d7,Golf,37
itr-019b0c71-83d4-7ff2-b719-f15e8f4f87bc,Hand Lettering,38
itr-019b0c71-83d4-7ff2-b719-f15f5330f04f,Hiking,39
itr-019b0c71-83d4-7ff2-b719-f160cfa744c3,Home Brewing,40
itr-019b0c71-83d4-7ff2-b719-f161a50e33dc,Home Improvement,41
itr-019b0c71-83d4-7ff2-b719-f1628e2d06d1,Jewelry Making,42
itr-019b0c71-83d4-7ff2-b719-f163edf5b1cd,Jogging,43
