university_id,university_name,university_country
unvst-019b0caa-674d-73b1-b5f2-1dade4c19fba,Engineering Institute of Technology,Australia
unvst-019b0caa-674f-7bc5-ac80-e04b4c6a4fa8,Universitas Nusa Putra,Indonesia
unvst-019b0caa-674f-7bc5-ac80-e04c0ab234fa,Regent University College of Science and Technology,Ghana
unvst-019b0caa-674f-7bc5-ac80-e04d251b67fc,Wroclaw Akademia Biznesu,Poland
unvst-019b0caa-674f-7bc5-ac80-e04e91ff0c7c,Atharva College of Engineering,India
unvst-019b0caa-674f-7bc5-ac80-e04ff81822fa,Toronto Baptist Seminary and Bible College,Canada
unvst-019b0caa-674f-7bc5-ac80-e050000aa095,Universidade Comunitária da Região de Chapecó - Unochapecó,Brazil
unvst-019b0caa-674f-7bc5-ac80-e051107f66ea,West Herts College,United Kingdom
unvst-019b0caa-674f-7bc5-ac80-e05227e91e6b,Bhagwan Parshuram Institute of Technology,India
unvst-019b0caa-674f-7bc5-ac80-e05373baa92c,National Institute of Applied Sciences of Toulouse,France
unvst-019b0caa-674f-7bc5-ac80-e0543f47bc5a,Bugema University,Uganda
unvst-019b0caa-674f-7bc5-ac80-e05519e6ce4e,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates
unvst-019b0caa-674f-7bc5-ac80-e0564c58408f,"Centro Universitário de Brasília, UNICEUB",Brazil
unvst-019b0caa-674f-7bc5-ac80-e057b21247d2,Kharkiv National University,Ukraine
unvst-019b0caa-674f-7bc5-ac80-e058e31c1d5e,Universidad Técnica Federico Santa María,Chile
unvst-019b0caa-674f-7bc5-ac80-e059698fea1e,IÉSEG School of Management,France
unvst-019b0caa-674f-7bc5-ac80-e05a4b7e82d8,Sun Yat-Sen University,China
unvst-019b0caa-674f-7bc5-ac80-e05b2ec15432,Royal Holloway University of London,United Kingdom
unvst-019b0caa-674f-7bc5-ac80-e05c0538ac9a,Hunan University,China
unvst-019b0caa-674f-7bc5-ac80-e05d821a7923,University of Portsmouth,United Kingdom
unvst-019b0caa-674f-7bc5-ac80-e05ed3bf6aae,Central Supélec,France
unvst-019b0caa-674f-7bc5-ac80-e05f26f1e241,Académie de Paris,France
unvst-019b0caa-674f-7bc5-ac80-e060276afb5d,Académie d'Aix-Marseille,France
unvst-019b0caa-674f-7bc5-ac80-e0613d6b6068,Académie de Créteil,France
unvst-019b0caa-674f-7bc5-ac80-e06246c709c8,Marywood University,United States
unvst-019b0caa-674f-7bc5-ac80-e063a87e5aaf,University of Petroleum and Energy Studies,India
unvst-019b0caa-674f-7bc5-ac80-e064c6e23581,Ashoka University,India
unvst-019b0caa-674f-7bc5-ac80-e065a128ae4a,Indian Institute of Information Technology Sri City,India
unvst-019b0caa-674f-7bc5-ac80-e066cc9fcc69,Cégep de Saint-Jérôme,Canada
unvst-019b0caa-674f-7bc5-ac80-e0675cf03631,Lindenwood University,United States
unvst-019b0caa-674f-7bc5-ac80-e068bedd2492,DAV Institute of Engineering & Technology,India
unvst-019b0caa-674f-7bc5-ac80-e069be400703,Lovely Professional University,India
unvst-019b0caa-674f-7bc5-ac80-e06a7ec2b5d7,Sullivan University,United States
unvst-019b0caa-674f-7bc5-ac80-e06b47aa0e5c,Florida State College at Jacksonville,United States
unvst-019b0caa-674f-7bc5-ac80-e06c190b2918,Xavier University,United States
unvst-019b0caa-674f-7bc5-ac80-e06d80e654c9,Tusculum College,United States
unvst-019b0caa-674f-7bc5-ac80-e06e12a3fbf2,Claremont School of Theology,United States
unvst-019b0caa-674f-7bc5-ac80-e06f8ea78a0e,Somaiya Vidyavihar,India
unvst-019b0caa-674f-7bc5-ac80-e07035d44fb8,Columbia College (SC),United States
unvst-019b0caa-674f-7bc5-ac80-e071616354e5,Chabot-Las Positas Community College District,United States
unvst-019b0caa-674f-7bc5-ac80-e072bbe9a7d9,Keller Graduate School of Management,United States
unvst-019b0caa-674f-7bc5-ac80-e073bef42939,Monroe College,United States
unvst-019b0caa-674f-7bc5-ac80-e0743d4bd9e9,San Mateo County Community College District,United States
unvst-019b0caa-674f-7bc5-ac80-e075fc5e8cb9,Los Rios Community College District,United States
unvst-019b0caa-674f-7bc5-ac80-e076af4fade0,DigiPen Institute of Technology,United States
unvst-019b0caa-674f-7bc5-ac80-e0775bd0b90b,University of Pittsburgh Medical Center,United States
unvst-019b0caa-674f-7bc5-ac80-e078c6df87ee,Claremont Graduate University,United States
unvst-019b0caa-674f-7bc5-ac80-e079df5371bc,The University of Texas at Rio Grande Valley,United States
unvst-019b0caa-674f-7bc5-ac80-e07a31d06772,College of Mount Saint Vincent,United States
unvst-019b0caa-674f-7bc5-ac80-e07bae8d11cd,University of Arkansas System eVersity,United States
unvst-019b0caa-674f-7bc5-ac80-e07c64f52cc8,ECPI University,United States
unvst-019b0caa-674f-7bc5-ac80-e07d82d9b50f,University of Mary Washington,United States
unvst-019b0caa-674f-7bc5-ac80-e07e9b667665,Baldwin Wallace University,United States
unvst-019b0caa-6750-78a5-9507-461664cf9b2a,California State University Channel Islands,United States
unvst-019b0caa-6750-78a5-9507-4617415d34d1,Brandman University,United States
unvst-019b0caa-6750-78a5-9507-46184829275b,United States Coast Guard Academy,United States
unvst-019b0caa-6750-78a5-9507-4619c7eda7eb,Athens State University,United States
unvst-019b0caa-6750-78a5-9507-461ac84c2d91,The Scripps Research Institute,United States
unvst-019b0caa-6750-78a5-9507-461b58579c18,Eastern Florida State College,United States
unvst-019b0caa-6750-78a5-9507-461cf783c422,Western New England University,United States
unvst-019b0caa-6750-78a5-9507-461dd6a54c27,King University,United States
unvst-019b0caa-6750-78a5-9507-461e4a31096d,Georgia Gwinnett College,United States
unvst-019b0caa-6750-78a5-9507-461f8fa6fd37,Trident University,United States
unvst-019b0caa-6750-78a5-9507-4620421168fe,Alliant International University,United States
unvst-019b0caa-6750-78a5-9507-462194651f4b,Mississippi Valley State University,United States
unvst-019b0caa-6750-78a5-9507-462214c3a075,Roosevelt University,United States
