wellness_factor_id,wellness_factor_name,wellness_factor_position,wellness_factor_wellness_factor_category_id
wnft-019b5599-990a-778f-a000-2e1d324d0aa3,alcohol,0,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-8562bc7f398d,caffeine,1,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-8563eb68c599,stress,2,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856450bab5f1,air travel,3,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-8565bc88600a,jet lag,4,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-8566b41e993d,social media,5,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-8567fd6bd192,tobacco,6,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856833a71999,smoking,7,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-85696524c458,time outside,8,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856ade242f30,screen time,9,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856b1a03a541,video games,10,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856cffad70c2,breathwork,11,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856d76af0128,cold shower,12,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856ec030e75a,meditation,13,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-856f1e2e91b8,sex,14,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-857072361e34,therapy,15,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
wnft-019b5599-990b-7084-a541-85712ad31773,watch the sunset,16,wnftctgr-019b5574-96f1-76ca-a524-abb634d997f7
