wellness_mood_id,wellness_mood_name,wellness_mood_position
wnm-019b556f-aaec-7f8e-8342-e1100db14fe0,unsured,0
wnm-019b556f-aaed-7086-bdaa-6e0e2f2bec46,happy,1
wnm-019b556f-aaed-7086-bdaa-6e0ff4d0fa09,grateful,2
wnm-019b556f-aaed-7086-bdaa-6e10ed2bdb9e,confident,3
wnm-019b556f-aaed-7086-bdaa-6e11ed6a680e,optimistic,4
wnm-019b556f-aaed-7086-bdaa-6e1235cfdb0f,excited,5
wnm-019b556f-aaed-7086-bdaa-6e13a6a1a050,loved,6
wnm-019b556f-aaed-7086-bdaa-6e14ca775f78,hopeful,7
wnm-019b556f-aaed-7086-bdaa-6e159ba75683,super,8
wnm-019b556f-aaed-7086-bdaa-6e16b18ce379,great,9
wnm-019b556f-aaed-7086-bdaa-6e172b5dc806,good,10
wnm-019b556f-aaed-7086-bdaa-6e189b851d5f,meh,11
wnm-019b556f-aaed-7086-bdaa-6e1981753b9d,bad,12
wnm-019b556f-aaed-7086-bdaa-6e1a49a5b0a6,sick,13
wnm-019b556f-aaed-7086-bdaa-6e1b077355c3,awful,14
wnm-019b556f-aaed-7086-bdaa-6e1cf271e71e,bored,15
wnm-019b556f-aaed-7086-bdaa-6e1dddfdec56,frustrated,16
wnm-019b556f-aaed-7086-bdaa-6e1e897337e2,anxious,17
wnm-019b556f-aaed-7086-bdaa-6e1f6d9cdb76,stressed,18
wnm-019b556f-aaed-7086-bdaa-6e200cb52eaf,confused,19
wnm-019b556f-aaed-7086-bdaa-6e21a8854824,exhausted,20
wnm-019b556f-aaed-7086-bdaa-6e222bfe5fa2,upset,21
wnm-019b556f-aaed-7086-bdaa-6e23a02e884b,overwhelmed,22
wnm-019b556f-aaed-7086-bdaa-6e24d5a2e36e,scared,23
wnm-019b556f-aaed-7086-bdaa-6e2577a6ae7a,angry,24
wnm-019b556f-aaed-7086-bdaa-6e26b8a03cd1,lonely,25
wnm-019b556f-aaed-7086-bdaa-6e27795bfeb9,guilty,26
wnm-019b556f-aaed-7086-bdaa-6e28f397370a,adventurous,27
wnm-019b556f-aaed-7086-bdaa-6e29c54c9a5b,afraid,28
wnm-019b556f-aaed-7086-bdaa-6e2adea73042,annoyed,29
wnm-019b556f-aaed-7086-bdaa-6e2b9562fde9,content,30
wnm-019b556f-aaed-7086-bdaa-6e2c7a8c9d88,delighted,31
wnm-019b556f-aaed-7086-bdaa-6e2df3740e0c,fantastic,32
wnm-019b556f-aaee-7a1f-92ae-fa035e27fedf,irritated,33
wnm-019b556f-aaee-7a1f-92ae-fa040d7c0697,joyful,34
wnm-019b556f-aaee-7a1f-92ae-fa055db3cb7c,nervous,35
wnm-019b556f-aaee-7a1f-92ae-fa06784498ed,sad,36
wnm-019b556f-aaee-7a1f-92ae-fa078e2bc6a7,tired,37
