wellness_symptom_id,wellness_symptom_name,wellness_symptom_position,wellness_symptom_wellness_symptom_category_id
wnst-019b5593-ae5b-794f-aa8c-66ad7679ca31,anxiety,0,wnstctgr-019b5573-5f01-71b3-ab53-b3c7a472efea
wnst-019b5593-ae5c-7742-9b5f-33c5b4b1dd58,depression,1,wnstctgr-019b5573-5f01-71b3-ab53-b3c7a472efea
wnst-019b5593-ae5c-7742-9b5f-33c6e5971c68,dissociation,2,wnstctgr-019b5573-5f01-71b3-ab53-b3c7a472efea
wnst-019b5593-ae5c-7742-9b5f-33c79255e838,irritability,3,wnstctgr-019b5573-5f01-71b3-ab53-b3c7a472efea
wnst-019b5593-ae5c-7742-9b5f-33c8bff60b2b,mood swings,4,wnstctgr-019b5573-5f01-71b3-ab53-b3c7a472efea
wnst-019b5593-ae5c-7742-9b5f-33c99eacb81a,sense of dread,5,wnstctgr-019b5573-5f01-71b3-ab53-b3c7a472efea
wnst-019b5593-ae5c-7742-9b5f-33ca01d62829,difficulty concentrating,6,wnstctgr-019b5573-5f02-7c01-bd64-ffa36e5df81b
wnst-019b5593-ae5c-7742-9b5f-33cbdc72960c,brain fog,7,wnstctgr-019b5573-5f02-7c01-bd64-ffa36e5df81b
wnst-019b5593-ae5c-7742-9b5f-33cc7780ac5a,forgetfulness,8,wnstctgr-019b5573-5f02-7c01-bd64-ffa36e5df81b
wnst-019b5593-ae5c-7742-9b5f-33cd3f63bc62,pessimism,9,wnstctgr-019b5573-5f02-7c01-bd64-ffa36e5df81b
wnst-019b5593-ae5c-7742-9b5f-33ce99834b8b,racing thoughts,10,wnstctgr-019b5573-5f02-7c01-bd64-ffa36e5df81b
wnst-019b5593-ae5c-7742-9b5f-33cf8b781595,heartburn,11,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d05620c10d,indigestion,12,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d1c69d26e1,nausea,13,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d2225f4f95,stomachache,14,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d32b272040,stomach cramps,15,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
wnst-019b5593-ae5c-7742-9b5f-33d4fb86a26f,abdominal pain,16,wnstctgr-019b5573-5f02-7c01-bd64-ffa42222510f
